date, power
09.08.2021 09:42:25.662,111.69
09.08.2021 09:42:26.683,6.43
09.08.2021 09:42:27.673,42.49
09.08.2021 09:42:28.662,42.49
09.08.2021 09:42:29.681,5.72
09.08.2021 09:42:30.672,5.72
09.08.2021 09:42:31.662,40.72
09.08.2021 09:42:32.681,259.75
09.08.2021 09:42:33.672,490.21
09.08.2021 09:42:34.664,490.21
09.08.2021 09:42:35.682,388.48
09.08.2021 09:42:36.677,374.09
09.08.2021 09:42:37.663,388.61
09.08.2021 09:42:38.683,388.61
09.08.2021 09:42:39.672,344.49
09.08.2021 09:42:40.663,328.37
09.08.2021 09:42:41.682,328.37
09.08.2021 09:42:42.672,296.67
09.08.2021 09:42:43.658,258.84
09.08.2021 09:42:44.678,258.84
09.08.2021 09:42:45.669,258.84
09.08.2021 09:42:46.659,105.13
09.08.2021 09:42:47.679,105.13
09.08.2021 09:42:48.673,42.60
09.08.2021 09:42:49.657,12.52
09.08.2021 09:42:50.681,147.01
09.08.2021 09:42:51.670,352.40
09.08.2021 09:42:52.660,361.44
09.08.2021 09:42:53.678,412.41
09.08.2021 09:42:54.669,412.41
09.08.2021 09:42:55.688,385.26
09.08.2021 09:42:56.680,252.53
09.08.2021 09:42:57.673,254.36
09.08.2021 09:42:58.663,267.17
09.08.2021 09:42:59.681,292.80
09.08.2021 09:43:00.670,292.80
09.08.2021 09:43:01.660,151.82
09.08.2021 09:43:02.680,72.11
09.08.2021 09:43:03.674,71.10
09.08.2021 09:43:04.663,71.10
09.08.2021 09:43:05.682,76.79
09.08.2021 09:43:06.672,76.79
09.08.2021 09:43:07.662,148.16
09.08.2021 09:43:08.682,174.73
09.08.2021 09:43:09.673,174.73
09.08.2021 09:43:10.662,174.73
09.08.2021 09:43:11.683,159.96
09.08.2021 09:43:12.672,159.96
09.08.2021 09:43:13.662,245.13
09.08.2021 09:43:14.683,245.13
09.08.2021 09:43:15.674,159.21
09.08.2021 09:43:16.663,185.23
09.08.2021 09:43:17.683,218.03
09.08.2021 09:43:18.673,245.48
09.08.2021 09:43:19.663,245.48
09.08.2021 09:43:20.683,221.27
09.08.2021 09:43:21.673,160.01
09.08.2021 09:43:22.693,10.34
09.08.2021 09:43:23.683,9.27
09.08.2021 09:43:24.674,214.11
09.08.2021 09:43:25.663,244.22
09.08.2021 09:43:26.684,249.29
09.08.2021 09:43:27.674,249.29
09.08.2021 09:43:28.663,165.96
09.08.2021 09:43:29.683,165.96
09.08.2021 09:43:30.673,9.98
09.08.2021 09:43:31.663,11.41
09.08.2021 09:43:32.684,11.41
09.08.2021 09:43:33.672,61.20
09.08.2021 09:43:34.664,125.56
09.08.2021 09:43:35.683,125.56
09.08.2021 09:43:35.895,84.18
09.08.2021 09:43:36.673,84.18
09.08.2021 09:43:37.664,135.44
09.08.2021 09:43:38.684,135.44
09.08.2021 09:43:39.669,6.78
09.08.2021 09:43:40.664,14.64
09.08.2021 09:43:41.683,14.64
09.08.2021 09:43:42.674,5.35
09.08.2021 09:43:43.667,5.71
09.08.2021 09:43:44.684,17.84
09.08.2021 09:43:45.672,17.84
09.08.2021 09:43:46.664,17.84
09.08.2021 09:43:47.683,21.05
09.08.2021 09:43:48.673,21.05
09.08.2021 09:43:49.666,81.43
09.08.2021 09:43:50.684,81.43
09.08.2021 09:43:51.673,108.98
09.08.2021 09:43:52.663,182.36
09.08.2021 09:43:53.684,182.36
09.08.2021 09:43:54.674,182.36
09.08.2021 09:43:55.664,63.72
09.08.2021 09:43:56.684,63.72
09.08.2021 09:43:57.673,61.89
09.08.2021 09:43:58.664,61.89
09.08.2021 09:43:59.683,29.19
09.08.2021 09:44:00.670,47.77
09.08.2021 09:44:01.664,59.08
09.08.2021 09:44:02.684,59.08
09.08.2021 09:44:03.674,58.38
09.08.2021 09:44:04.664,58.38
09.08.2021 09:44:05.684,39.20
09.08.2021 09:44:06.673,39.20
09.08.2021 09:44:07.661,50.58
09.08.2021 09:44:08.682,50.58
09.08.2021 09:44:09.673,62.99
09.08.2021 09:44:10.665,78.61
09.08.2021 09:44:11.684,78.61
09.08.2021 09:44:12.673,96.94
09.08.2021 09:44:13.665,96.94
09.08.2021 09:44:14.684,60.72
09.08.2021 09:44:15.673,218.34
09.08.2021 09:44:16.664,317.67
09.08.2021 09:44:17.685,317.67
09.08.2021 09:44:18.675,266.82
09.08.2021 09:44:19.660,243.72
09.08.2021 09:44:20.687,243.72
09.08.2021 09:44:21.674,200.09
09.08.2021 09:44:22.662,12.11
09.08.2021 09:44:23.684,34.53
09.08.2021 09:44:24.671,34.53
09.08.2021 09:44:25.664,108.18
09.08.2021 09:44:26.684,115.99
09.08.2021 09:44:27.674,115.99
09.08.2021 09:44:28.663,115.99
09.08.2021 09:44:29.683,109.60
09.08.2021 09:44:30.672,109.60
09.08.2021 09:44:31.661,35.27
09.08.2021 09:44:32.681,35.27
09.08.2021 09:44:33.673,54.10
09.08.2021 09:44:34.664,87.40
09.08.2021 09:44:35.686,87.40
09.08.2021 09:44:36.674,46.27
09.08.2021 09:44:37.668,70.76
09.08.2021 09:44:38.683,167.39
09.08.2021 09:44:39.674,368.09
09.08.2021 09:44:40.663,368.09
09.08.2021 09:44:41.684,368.93
09.08.2021 09:44:42.673,517.23
09.08.2021 09:44:43.661,517.23
09.08.2021 09:44:44.683,637.26
09.08.2021 09:44:45.668,637.26
09.08.2021 09:44:46.658,226.33
09.08.2021 09:44:47.680,50.27
09.08.2021 09:44:48.674,195.99
09.08.2021 09:44:49.663,195.99
09.08.2021 09:44:50.685,195.99
09.08.2021 09:44:51.673,195.99
09.08.2021 09:44:52.664,317.95
09.08.2021 09:44:53.684,317.95
09.08.2021 09:44:54.674,164.90
09.08.2021 09:44:55.662,75.59
09.08.2021 09:44:56.685,40.18
09.08.2021 09:44:57.673,87.99
09.08.2021 09:44:58.662,98.88
09.08.2021 09:44:59.685,107.38
09.08.2021 09:45:00.669,324.16
09.08.2021 09:45:01.664,324.16
09.08.2021 09:45:02.683,435.15
09.08.2021 09:45:03.675,474.61
09.08.2021 09:45:04.663,510.89
09.08.2021 09:45:05.683,510.89
09.08.2021 09:45:06.673,433.53
09.08.2021 09:45:07.694,433.53
09.08.2021 09:45:08.681,9.25
09.08.2021 09:45:09.672,9.61
09.08.2021 09:45:10.661,9.61
09.08.2021 09:45:11.683,9.61
09.08.2021 09:45:12.673,9.61
09.08.2021 09:45:13.663,7.48
09.08.2021 09:45:14.683,7.48
09.08.2021 09:45:15.670,6.77
09.08.2021 09:45:16.662,6.06
09.08.2021 09:45:17.683,65.40
09.08.2021 09:45:18.674,65.40
09.08.2021 09:45:19.664,4.99
09.08.2021 09:45:20.681,4.99
09.08.2021 09:45:21.674,3.92
09.08.2021 09:45:22.665,73.55
09.08.2021 09:45:23.684,181.24
09.08.2021 09:45:24.673,181.24
09.08.2021 09:45:25.665,188.56
09.08.2021 09:45:26.683,265.23
09.08.2021 09:45:27.674,265.23
09.08.2021 09:45:28.665,390.18
09.08.2021 09:45:29.684,390.18
