date, total distance
09.08.2021 10:13:27.538,642.76
09.08.2021 10:13:28.531,642.77
09.08.2021 10:13:29.519,642.78
09.08.2021 10:13:30.570,642.78
09.08.2021 10:13:31.529,642.78
09.08.2021 10:13:32.522,642.79
09.08.2021 10:13:33.542,642.80
09.08.2021 10:13:34.529,642.81
09.08.2021 10:13:35.521,642.81
09.08.2021 10:13:36.542,642.82
09.08.2021 10:13:37.532,642.83
09.08.2021 10:13:38.521,642.83
09.08.2021 10:13:39.543,642.84
09.08.2021 10:13:40.529,642.85
09.08.2021 10:13:41.518,642.85
09.08.2021 10:13:42.539,642.86
09.08.2021 10:13:43.534,642.86
09.08.2021 10:13:44.522,642.87
09.08.2021 10:13:45.542,642.87
09.08.2021 10:13:46.532,642.88
09.08.2021 10:13:47.518,642.88
09.08.2021 10:13:48.540,642.89
09.08.2021 10:13:49.529,642.89
09.08.2021 10:13:50.548,642.90
09.08.2021 10:13:51.540,642.90
09.08.2021 10:13:52.528,642.91
09.08.2021 10:13:53.518,642.91
09.08.2021 10:13:54.543,642.92
09.08.2021 10:13:55.533,642.92
09.08.2021 10:13:56.522,642.93
09.08.2021 10:13:57.543,642.94
09.08.2021 10:13:58.533,642.94
09.08.2021 10:13:59.522,642.95
09.08.2021 10:14:00.543,642.95
09.08.2021 10:14:01.529,642.96
09.08.2021 10:14:02.520,642.96
09.08.2021 10:14:03.543,642.96
09.08.2021 10:14:04.533,642.96
09.08.2021 10:14:05.523,642.97
09.08.2021 10:14:06.543,642.97
09.08.2021 10:14:07.529,642.97
09.08.2021 10:14:08.522,642.97
09.08.2021 10:14:09.542,642.98
09.08.2021 10:14:10.527,642.98
09.08.2021 10:14:11.519,642.99
09.08.2021 10:14:12.571,642.99
09.08.2021 10:14:13.560,642.99
09.08.2021 10:14:14.519,642.99
09.08.2021 10:14:15.538,643.01
09.08.2021 10:14:16.528,643.01
09.08.2021 10:14:17.523,643.02
09.08.2021 10:14:18.543,643.02
09.08.2021 10:14:19.529,643.02
09.08.2021 10:14:20.523,643.03
09.08.2021 10:14:21.512,643.03
09.08.2021 10:14:22.532,643.03
09.08.2021 10:14:23.522,643.04
09.08.2021 10:14:24.541,643.04
09.08.2021 10:14:25.532,643.04
09.08.2021 10:14:26.522,643.05
09.08.2021 10:14:27.540,643.05
09.08.2021 10:14:28.531,643.06
09.08.2021 10:14:29.520,643.06
09.08.2021 10:14:30.689,643.07
09.08.2021 10:14:31.530,643.07
09.08.2021 10:14:32.520,643.07
09.08.2021 10:14:33.540,643.08
09.08.2021 10:14:34.530,643.08
09.08.2021 10:14:35.522,643.09
09.08.2021 10:14:36.539,643.09
09.08.2021 10:14:37.533,643.10
09.08.2021 10:14:38.523,643.10
09.08.2021 10:14:39.543,643.11
09.08.2021 10:14:40.529,643.11
09.08.2021 10:14:41.524,643.12
09.08.2021 10:14:42.543,643.12
09.08.2021 10:14:43.533,643.13
09.08.2021 10:14:44.520,643.13
09.08.2021 10:14:45.540,643.13
09.08.2021 10:14:46.533,643.14
09.08.2021 10:14:47.523,643.14
09.08.2021 10:14:48.543,643.14
09.08.2021 10:14:49.531,643.15
09.08.2021 10:14:50.525,643.15
09.08.2021 10:14:51.542,643.15
09.08.2021 10:14:52.531,643.16
09.08.2021 10:14:53.520,643.16
09.08.2021 10:14:54.540,643.16
09.08.2021 10:14:55.561,643.17
09.08.2021 10:14:56.551,643.17
09.08.2021 10:14:57.543,643.17
09.08.2021 10:14:58.534,643.17
09.08.2021 10:14:59.521,643.18
09.08.2021 10:15:00.544,643.18
09.08.2021 10:15:01.536,643.18
09.08.2021 10:15:02.524,643.19
09.08.2021 10:15:03.544,643.19
09.08.2021 10:15:04.531,643.20
09.08.2021 10:15:05.520,643.20
09.08.2021 10:15:06.540,643.21
09.08.2021 10:15:07.532,643.21
09.08.2021 10:15:08.520,643.22
09.08.2021 10:15:09.545,643.22
09.08.2021 10:15:10.530,643.23
09.08.2021 10:15:11.521,643.23
09.08.2021 10:15:12.541,643.23
09.08.2021 10:15:13.530,643.24
09.08.2021 10:15:14.521,643.24
09.08.2021 10:15:15.542,643.24
09.08.2021 10:15:16.530,643.25
09.08.2021 10:15:17.521,643.25
09.08.2021 10:15:18.572,643.25
09.08.2021 10:15:19.531,643.25
09.08.2021 10:15:20.522,643.26
09.08.2021 10:15:21.542,643.26
09.08.2021 10:15:22.533,643.26
09.08.2021 10:15:23.525,643.27
09.08.2021 10:15:24.545,643.27
09.08.2021 10:15:25.534,643.28
09.08.2021 10:15:26.527,643.28
09.08.2021 10:15:27.544,643.29
09.08.2021 10:15:28.530,643.29
09.08.2021 10:15:29.525,643.29
09.08.2021 10:15:30.545,643.30
09.08.2021 10:15:31.533,643.30
09.08.2021 10:15:32.525,643.31
09.08.2021 10:15:33.542,643.31
09.08.2021 10:15:34.535,643.31
09.08.2021 10:15:35.521,643.32
09.08.2021 10:15:37.531,643.32
09.08.2021 10:15:38.552,643.33
09.08.2021 10:15:39.542,643.33
09.08.2021 10:15:40.531,643.34
09.08.2021 10:15:41.522,643.34
09.08.2021 10:15:42.546,643.35
09.08.2021 10:15:43.538,643.35
09.08.2021 10:15:44.555,643.36
09.08.2021 10:15:45.546,643.36
09.08.2021 10:15:46.535,643.37
09.08.2021 10:15:47.524,643.37
09.08.2021 10:15:48.545,643.37
09.08.2021 10:15:49.532,643.38
09.08.2021 10:15:50.523,643.38
09.08.2021 10:15:51.545,643.38
09.08.2021 10:15:52.531,643.39
09.08.2021 10:15:53.526,643.39
09.08.2021 10:15:54.546,643.40
09.08.2021 10:15:55.531,643.40
09.08.2021 10:15:56.526,643.40
09.08.2021 10:15:57.542,643.40
09.08.2021 10:15:58.531,643.40
09.08.2021 10:15:59.523,643.41
