date, current
09.08.2021 14:07:49.015,0.03
09.08.2021 14:07:49.950,0.03
09.08.2021 14:07:50.882,0.03
09.08.2021 14:07:51.871,0.02
09.08.2021 14:07:52.894,0.02
09.08.2021 14:07:53.885,0.03
09.08.2021 14:07:54.874,0.03
09.08.2021 14:07:55.894,0.02
09.08.2021 14:07:56.885,0.02
09.08.2021 14:07:57.875,0.02
09.08.2021 14:07:58.894,0.02
09.08.2021 14:07:59.931,0.02
09.08.2021 14:08:00.877,0.02
09.08.2021 14:08:01.893,0.02
09.08.2021 14:08:02.883,0.03
09.08.2021 14:08:03.876,0.03
09.08.2021 14:08:04.895,0.02
09.08.2021 14:08:06.538,0.03
09.08.2021 14:08:06.881,0.03
09.08.2021 14:08:07.945,0.02
09.08.2021 14:08:08.914,0.02
