date, battery
09.08.2021 14:07:49.950,67.00
09.08.2021 14:07:50.882,67.00
09.08.2021 14:07:51.871,67.00
09.08.2021 14:07:52.894,67.00
09.08.2021 14:07:53.885,67.00
09.08.2021 14:07:54.874,67.00
09.08.2021 14:07:55.894,67.00
09.08.2021 14:07:56.885,67.00
09.08.2021 14:07:57.875,67.00
09.08.2021 14:07:58.894,67.00
09.08.2021 14:07:59.931,67.00
09.08.2021 14:08:00.877,67.00
09.08.2021 14:08:01.893,67.00
09.08.2021 14:08:02.883,67.00
09.08.2021 14:08:03.876,67.00
09.08.2021 14:08:04.895,67.00
09.08.2021 14:08:06.538,67.00
09.08.2021 14:08:06.881,67.00
09.08.2021 14:08:07.945,67.00
09.08.2021 14:08:08.914,67.00
09.08.2021 14:08:09.931,67.00
