date, power
09.08.2021 14:08:55.938,434.67
09.08.2021 14:08:56.180,434.67
09.08.2021 14:08:56.890,379.79
09.08.2021 14:08:57.979,379.79
09.08.2021 14:08:58.207,379.79
09.08.2021 14:08:58.931,379.79
09.08.2021 14:08:59.180,376.05
09.08.2021 14:08:59.929,391.07
09.08.2021 14:09:00.180,391.07
09.08.2021 14:09:00.937,379.26
09.08.2021 14:09:01.185,379.26
09.08.2021 14:09:01.950,322.37
09.08.2021 14:09:02.179,322.37
09.08.2021 14:09:02.889,325.12
09.08.2021 14:09:03.128,325.12
09.08.2021 14:09:03.980,271.51
09.08.2021 14:09:04.279,271.51
09.08.2021 14:09:04.900,271.51
09.08.2021 14:09:05.176,269.74
09.08.2021 14:09:05.984,328.80
09.08.2021 14:09:06.193,328.80
09.08.2021 14:09:06.906,288.61
09.08.2021 14:09:07.149,288.61
09.08.2021 14:09:07.897,293.69
09.08.2021 14:09:08.986,293.69
09.08.2021 14:09:09.213,293.69
09.08.2021 14:09:09.909,349.50
09.08.2021 14:09:10.163,349.50
09.08.2021 14:09:10.989,349.50
09.08.2021 14:09:11.205,341.14
09.08.2021 14:09:11.895,368.34
09.08.2021 14:09:12.903,368.34
09.08.2021 14:09:13.936,368.34
09.08.2021 14:09:14.164,368.34
09.08.2021 14:09:14.931,416.09
09.08.2021 14:09:15.181,416.09
09.08.2021 14:09:15.909,491.96
09.08.2021 14:09:16.166,491.96
09.08.2021 14:09:16.937,445.30
09.08.2021 14:09:17.199,445.30
09.08.2021 14:09:17.986,445.30
09.08.2021 14:09:18.981,330.90
09.08.2021 14:09:19.997,330.90
09.08.2021 14:09:20.231,330.90
09.08.2021 14:09:20.928,133.88
09.08.2021 14:09:21.181,133.88
09.08.2021 14:09:21.943,362.60
09.08.2021 14:09:22.191,362.60
09.08.2021 14:09:22.993,494.90
09.08.2021 14:09:23.235,494.90
09.08.2021 14:09:23.981,239.84
09.08.2021 14:09:24.188,239.84
09.08.2021 14:09:24.909,778.52
09.08.2021 14:09:25.163,778.52
09.08.2021 14:09:25.943,778.52
09.08.2021 14:09:26.189,778.02
09.08.2021 14:09:26.983,778.02
09.08.2021 14:09:27.201,723.92
09.08.2021 14:09:27.978,723.92
09.08.2021 14:09:28.214,168.04
09.08.2021 14:09:28.933,288.02
09.08.2021 14:09:29.181,288.02
09.08.2021 14:09:29.929,240.83
09.08.2021 14:09:30.179,240.83
09.08.2021 14:09:30.907,240.83
09.08.2021 14:09:31.162,199.60
09.08.2021 14:09:31.897,5.97
09.08.2021 14:09:32.148,5.97
09.08.2021 14:09:32.928,270.47
09.08.2021 14:09:33.185,270.47
09.08.2021 14:09:33.909,769.76
09.08.2021 14:09:34.211,769.76
09.08.2021 14:09:34.934,777.88
09.08.2021 14:09:35.185,777.88
09.08.2021 14:09:35.925,210.17
09.08.2021 14:09:36.174,210.17
09.08.2021 14:09:36.975,177.84
09.08.2021 14:09:37.195,177.84
09.08.2021 14:09:37.930,149.70
09.08.2021 14:09:38.178,149.70
09.08.2021 14:09:38.889,122.66
09.08.2021 14:09:39.135,122.66
09.08.2021 14:09:39.936,88.41
09.08.2021 14:09:40.962,88.41
09.08.2021 14:09:41.190,88.41
09.08.2021 14:09:41.944,609.22
09.08.2021 14:09:42.975,609.22
09.08.2021 14:09:43.197,609.22
09.08.2021 14:09:43.966,716.17
09.08.2021 14:09:44.188,716.17
09.08.2021 14:09:44.961,763.91
09.08.2021 14:09:45.185,763.91
09.08.2021 14:09:45.918,775.86
09.08.2021 14:09:46.181,775.86
09.08.2021 14:09:46.966,775.86
09.08.2021 14:09:47.186,5.97
09.08.2021 14:09:47.979,782.79
09.08.2021 14:09:48.219,782.79
09.08.2021 14:09:48.976,782.79
09.08.2021 14:09:49.196,780.77
09.08.2021 14:09:49.929,731.07
09.08.2021 14:09:50.167,731.07
09.08.2021 14:09:50.926,362.25
09.08.2021 14:09:51.141,362.25
09.08.2021 14:09:52.002,362.25
09.08.2021 14:09:52.237,292.68
09.08.2021 14:09:52.961,243.27
09.08.2021 14:09:53.194,243.27
09.08.2021 14:09:53.950,243.27
09.08.2021 14:09:54.186,141.64
09.08.2021 14:09:54.981,141.64
09.08.2021 14:09:55.209,116.84
09.08.2021 14:09:55.991,97.00
09.08.2021 14:09:56.210,97.00
09.08.2021 14:09:56.989,81.22
09.08.2021 14:09:57.226,81.22
09.08.2021 14:09:57.936,81.22
09.08.2021 14:09:58.991,764.72
09.08.2021 14:09:59.214,764.72
09.08.2021 14:09:59.949,770.36
09.08.2021 14:10:00.177,770.36
09.08.2021 14:10:00.941,775.07
09.08.2021 14:10:01.163,775.07
09.08.2021 14:10:01.960,775.07
09.08.2021 14:10:02.185,775.00
09.08.2021 14:10:02.990,792.88
09.08.2021 14:10:03.213,792.88
09.08.2021 14:10:03.941,792.88
09.08.2021 14:10:04.192,672.22
09.08.2021 14:10:04.994,519.29
09.08.2021 14:10:05.235,519.29
09.08.2021 14:10:05.917,519.29
09.08.2021 14:10:06.129,415.09
09.08.2021 14:10:07.008,415.09
09.08.2021 14:10:07.928,387.85
09.08.2021 14:10:08.177,387.85
09.08.2021 14:10:08.920,310.93
09.08.2021 14:10:09.174,310.93
09.08.2021 14:10:09.970,339.11
09.08.2021 14:10:10.203,339.11
09.08.2021 14:10:10.928,331.49
09.08.2021 14:10:11.171,331.49
09.08.2021 14:10:11.920,342.22
09.08.2021 14:10:12.173,342.22
09.08.2021 14:10:12.967,318.73
09.08.2021 14:10:13.199,318.73
09.08.2021 14:10:13.907,305.96
09.08.2021 14:10:14.161,305.96
09.08.2021 14:10:14.917,289.01
09.08.2021 14:10:15.142,289.01
09.08.2021 14:10:15.907,359.54
09.08.2021 14:10:16.162,359.54
09.08.2021 14:10:16.958,340.48
09.08.2021 14:10:17.173,340.48
09.08.2021 14:10:18.008,340.48
09.08.2021 14:10:19.007,306.08
09.08.2021 14:10:19.229,306.08
09.08.2021 14:10:19.930,306.08
09.08.2021 14:10:20.174,305.88
09.08.2021 14:10:20.984,320.95
09.08.2021 14:10:21.222,320.95
09.08.2021 14:10:22.001,356.31
09.08.2021 14:10:22.230,364.74
09.08.2021 14:10:22.900,364.74
09.08.2021 14:10:23.147,364.74
09.08.2021 14:10:23.890,361.90
09.08.2021 14:10:24.136,361.90
09.08.2021 14:10:25.002,305.63
09.08.2021 14:10:25.225,305.63
09.08.2021 14:10:25.934,323.82
09.08.2021 14:10:26.174,323.82
09.08.2021 14:10:26.947,341.60
09.08.2021 14:10:27.174,341.60
09.08.2021 14:10:27.938,246.13
09.08.2021 14:10:28.172,246.13
09.08.2021 14:10:28.901,202.82
09.08.2021 14:10:29.147,202.82
09.08.2021 14:10:29.887,151.59
09.08.2021 14:10:30.130,151.59
09.08.2021 14:10:30.919,204.65
09.08.2021 14:10:31.151,204.65
09.08.2021 14:10:31.957,714.68
09.08.2021 14:10:32.195,714.68
09.08.2021 14:10:32.947,714.68
09.08.2021 14:10:33.975,165.02
09.08.2021 14:10:34.222,165.02
09.08.2021 14:10:34.969,179.95
09.08.2021 14:10:35.194,179.95
09.08.2021 14:10:35.921,124.20
09.08.2021 14:10:36.171,124.20
09.08.2021 14:10:36.967,2.61
09.08.2021 14:10:37.199,493.76
09.08.2021 14:10:37.960,493.76
09.08.2021 14:10:38.173,493.76
09.08.2021 14:10:38.978,493.76
09.08.2021 14:10:39.215,1.12
09.08.2021 14:10:39.973,1.12
09.08.2021 14:10:40.214,511.14
09.08.2021 14:10:40.928,511.14
09.08.2021 14:10:41.147,511.14
09.08.2021 14:10:41.920,756.41
09.08.2021 14:10:42.173,765.11
09.08.2021 14:10:42.909,765.11
09.08.2021 14:10:43.119,765.11
09.08.2021 14:10:43.995,775.22
09.08.2021 14:10:44.218,775.22
09.08.2021 14:10:44.981,772.99
09.08.2021 14:10:45.210,772.99
09.08.2021 14:10:45.911,771.48
09.08.2021 14:10:46.171,771.48
09.08.2021 14:10:46.904,597.79
09.08.2021 14:10:47.140,597.79
09.08.2021 14:10:47.979,405.26
